NO,NO. NOTA PENJUALAN,TANGGAL PENJUALAN,NAMA PENJUAL,NAMA PEMBELI,Ur Barang,Jumlah Satuan,Kd Satuan,Netto,Bruto,Fob Valuta,KODE VALUTA,NDPBM,FOB DALAM RUPIAH
21,000038,1/4/2023,PT PACIFIC GRANITAMA,Pan-United Concrete Pte Ltd,"Batu Granit Ukuran 3/16""","3,691.00",TNE,"3,691,000.00","3,691,000.00","31,004.40",SGD,"11,640.53","360,907,648.33"
22,000039,1/4/2023,PT BUKIT ALAM PERSADA,HL GRANITE RESOURCES PTE LTD,"BATU GRANIT UKURAN 3/16"" ( NEW )","3,983,000.00",KGM,"3,983,000.00","3,983,000.00","31,864.00",SGD,"11,640.53","370,913,847.92"
23,000040,1/4/2023,PT BUKIT ALAM PERSADA,HL GRANITE RESOURCES PTE LTD,"BATU GRANIT UKURAN 1/4"" - 3/4"" ( NEW )","4,335,000.00",KGM,"4,335,000.00","4,335,000.00","39,448.50",SGD,"11,640.53","459,201,447.71"
24,000042,1/4/2023,PT RIAUALAM ANUGERAH INDONESIA,"SAMWOH EXPLORATION PTE,LTD","GRANITE          5/8""  (NEW)","1,001,000.00",KGM,"1,001,000.00","1,001,000.00","9,009.00",SGD,"11,640.53","104,869,534.77"
25,000042,1/4/2023,PT RIAUALAM ANUGERAH INDONESIA,"SAMWOH EXPLORATION PTE,LTD","GRANITE           3/16""   (NEW)","3,705,000.00",KGM,"3,705,000.00","3,705,000.00","22,971.00",SGD,"11,640.53","267,394,614.63"
26,000047,1/5/2023,PT. BUKIT GRANIT MINING MANDIRI,INFINITE PROSPERITY PTE LTD,"GRANITE 1/4"" - 3/4"" (NEW)","3,112.00",TNE,"3,112,000.00","3,112,000.00","28,008.00",SGD,"11,640.53","326,027,964.24"
27,000049,1/5/2023,PT PACIFIC GRANITAMA,Pan-United Concrete Pte Ltd,"Batu Granit Ukuran 1/4""- 3/4""","4,390.00",TNE,"4,390,000.00","4,390,000.00","42,583.00",SGD,"11,640.53","495,688,688.99"
28,000050,1/5/2023,PT PACIFIC GRANITAMA,Pan-United Concrete Pte Ltd,"Batu Granit Ukuran 1/4""- 3/4""","4,227.00",TNE,"4,227,000.00","4,227,000.00","41,001.90",SGD,"11,640.53","477,283,847.01"
29,000051,1/5/2023,PT PACIFIC GRANITAMA,Pan-United Concrete Pte Ltd,"Batu Granit Ukuran 3/16""","3,507.00",TNE,"3,507,000.00","3,507,000.00","29,458.80",SGD,"11,640.53","342,916,045.16"
30,000055,1/5/2023,PT OILTANKING KARIMUN QQ VITOL ASIA PTE LTD,TO THE ORDER OF VITOL ASIA PTE LTD,HSFO 180 CST,"24,995.09",TNE,"24,995,089.00","24,995,089.00","11,085,321.97",USD,"15,665.00","173,651,568,660.05"
31,000062,1/6/2023,PT OILTANKING KARIMUN QQ TENSARO ENERGY PTE LTD,TENSARO ENERGY PTE LTD,HSFO 380 CST,"262,070.74",BLL,"40,493,745.00","40,493,745.00","15,226,309.99",USD,"15,665.00","238,520,145,993.35"
32,000063,1/6/2023,PT PACIFIC GRANITAMA,Pan-United Concrete Pte Ltd,"Batu Granit Ukuran 1/4""- 3/4""","4,453.00",TNE,"4,453,000.00","4,453,000.00","43,194.10",SGD,"11,640.53","502,802,216.87"
33,000065,1/6/2023,PT PACIFIC GRANITAMA,Pan-United Concrete Pte Ltd,"Batu Granit Ukuran 3/16""","4,451.00",TNE,"4,451,000.00","4,451,000.00","37,388.40",SGD,"11,640.53","435,220,791.85"
34,000066,1/6/2023,PT BUKIT ALAM PERSADA,HL GRANITE RESOURCES PTE LTD,"BATU GRANIT UKURAN 1/4"" - 3/4"" ( NEW )","5,030,000.00",KGM,"5,030,000.00","5,030,000.00","45,773.00",SGD,"11,640.53","532,821,979.69"
35,000067,1/6/2023,PT BUKIT ALAM PERSADA,HL GRANITE RESOURCES PTE LTD,"BATU GRANIT UKURAN 3/15"" - 1 1/2"" ( NEW )","2,624,000.00",KGM,"2,624,000.00","2,624,000.00","17,580.80",SGD,"11,640.53","204,649,829.82"
36,000068,1/6/2023,PT BUKIT ALAM PERSADA,HL GRANITE RESOURCES PTE LTD,"BATU GRANIT UKURAN 3/16"" ( NEW )","3,675,000.00",KGM,"3,675,000.00","3,675,000.00","29,400.00",SGD,"11,640.53","342,231,582.00"
37,000069,1/6/2023,PT. SAIPEM INDONESIA,AIR LIQUIDE SINGAPORE PTE LTD,"USED, EMPTY CO2 31 KG RACK (16 CYLINDER/RACK): AL2348, AL5892, AL2328, AL0129, AL2324, AL2346, AL2333, AL2285, AL5525, AL0285, AL3906, AL2394 #NON COMMERCIAL VALUE",12.00,RA,"15,600.00","15,600.00","6,000.00",USD,"15,665.00","93,990,000.00"
38,000070,1/6/2023,PT. SAIPEM INDONESIA,LEEDEN NATIONAL OXYGEN LTD,"USED, EMPTY ATAL RACK (16 CYLINDER/RACK): 26103 #NON COMMERCIAL VALUE",151.00,RA,"1,300.00","1,300.00",500.00,USD,"15,665.00","7,832,500.00"
39,000070,1/6/2023,PT. SAIPEM INDONESIA,LEEDEN NATIONAL OXYGEN LTD,"USED, EMPTY NORMAL ARGON RACK (16 CYLINDER/RACK): 24715, 21937, 21573, 28131, 21600, 21539, 21914, 21568, 21569, 27481, 24715, 21937, 21573, 28131, 21600 #NON COMMERCIAL VALUE",15.00,RA,"19,500.00","19,500.00","7,500.00",USD,"15,665.00","117,487,500.00"
40,000071,1/6/2023,PT. SAIPEM INDONESIA,ASH MARINE PVT LTD,"USED, TSA MACHINES (ENERGIZER)(4.8), MAKE / MODEL : PRECISION ARC GENERATION II 4.8, SERIAL NO. : 58190, COUNTRY OF ORIGIN : USA, Y.O.M : 2015 #NON COMMERCIAL VALUE",1.00,NIU,450.00,450.00,"4,000.00",SGD,"11,640.53","46,562,120.00"
41,000071,1/6/2023,PT. SAIPEM INDONESIA,ASH MARINE PVT LTD,"USED, TSA MACHINES (ENERGIZER)(3.2), MAKE / MODEL : METALLISATION ENERGIZER TYPE S700, SERIAL NO. : S700-036, COUNTRY OF ORIGIN : UNITED KINGDOM, Y.O.M : 2012 #NON COMMERCIAL VALUE",1.00,NIU,350.00,350.00,"2,000.00",SGD,"11,640.53","23,281,060.00"
42,000071,1/6/2023,PT. SAIPEM INDONESIA,ASH MARINE PVT LTD,"USED, TSA MACHINES (ENERGIZER)(3.2), MAKE / MODEL : METALLISATION ENERGIZER TYPE S700, SERIAL NO. : S700-062, COUNTRY OF ORIGIN : UNITED KINGDOM, Y.O.M : 2012 #NON COMMERCIAL VALUE",1.00,NIU,350.00,350.00,"2,000.00",SGD,"11,640.53","23,281,060.00"
43,000071,1/6/2023,PT. SAIPEM INDONESIA,ASH MARINE PVT LTD,"USED, TSA MACHINES (FEEDER)(4.8), MAKE / MODEL : PRECISION ARC GENERATION II 4.8, SERIAL NO. : 58191, COUNTRY OF ORIGIN : USA, Y.O.M : 2015, 3.2 MM WELDING CABLE, 3.2 MM GUN BOX #NON COMMERCIAL VALUE",1.00,SET,60.00,60.00,"1,350.00",SGD,"11,640.53","15,714,715.50"
44,000072,1/6/2023,PT OILTANKING KARIMUN QQ VITOL ASIA PTE LTD,OIL MARKETING COMPANY (SOMO),GASOLINE,"255,051.04",BLL,"30,210,185.00","30,210,185.00","24,995,001.92",USD,"15,665.00","391,546,705,076.80"
45,000073,1/6/2023,PT OILTANKING KARIMUN QQ VITOL ASIA PTE LTD,OIL MARKETING COMPANY (SOMO),GASOLINE,"40,338.64",BLL,"4,778,013.00","4,778,013.00","3,953,186.72",USD,"15,665.00","61,926,669,968.80"
46,000074,1/7/2023,PT PACIFIC GRANITAMA,Pan-United Concrete Pte Ltd,"Batu Granit Ukuran 1/4""- 3/4""","4,507.00",TNE,"4,507,000.00","4,507,000.00","43,717.90",SGD,"11,640.53","508,899,526.49"
47,000075,1/7/2023,PT PACIFIC GRANITAMA,Pan-United Concrete Pte Ltd,"Batu Granit Ukuran 1/4""- 3/4""","4,365.00",TNE,"4,365,000.00","4,365,000.00","42,340.50",SGD,"11,640.53","492,865,860.47"
48,000076,1/7/2023,PT PACIFIC GRANITAMA,Pan-United Concrete Pte Ltd,"Batu Granit Ukuran 3/16""","3,604.00",TNE,"3,604,000.00","3,604,000.00","30,273.60",SGD,"11,640.53","352,400,749.01"
49,000078,1/7/2023,PT BUKIT ALAM PERSADA,HL GRANITE RESOURCES PTE LTD,"BATU GRANIT UKURAN 1/4"" - 3/4"" ( NEW )","5,077,000.00",KGM,"5,077,000.00","5,077,000.00","46,200.70",SGD,"11,640.53","537,800,634.37"
50,000081,1/7/2023,PT BUKIT ALAM PERSADA,HL GRANITE RESOURCES PTE LTD,"BATU GRANIT UKURAN 3/16"" ( NEW )","3,983,000.00",KGM,"3,983,000.00","3,983,000.00","31,864.00",SGD,"11,640.53","370,913,847.92"
51,000090,1/8/2023,PT PACIFIC GRANITAMA,Pan-United Concrete Pte Ltd,"Batu Granit Ukuran 1/4""- 3/4""","3,691.00",TNE,"3,691,000.00","3,691,000.00","35,802.70",SGD,"11,640.53","416,762,403.43"
52,000091,1/8/2023,PT PACIFIC GRANITAMA,Pan-United Concrete Pte Ltd,"Batu Granit Ukuran 1/4""- 3/4""","4,227.00",TNE,"4,227,000.00","4,227,000.00","41,001.90",SGD,"11,640.53","477,283,847.01"
53,000096,1/8/2023,PT RIAUALAM ANUGERAH INDONESIA,"SAMWOH EXPLORATION PTE,LTD","GRANITE           3/15""  -   1  1/2""  (NEW)","4,715,000.00",KGM,"4,715,000.00","4,715,000.00","37,720.00",SGD,"11,640.53","439,080,791.60"
54,000097,1/8/2023,PT BUKIT ALAM PERSADA,HL GRANITE RESOURCES PTE LTD,"BATU GRANIT UKURAN 3/16"" ( NEW )","4,418,000.00",KGM,"4,418,000.00","4,418,000.00","35,344.00",SGD,"11,640.53","411,422,892.32"
55,000098,1/8/2023,PT BUKIT ALAM PERSADA,HL GRANITE RESOURCES PTE LTD,"BATU GRANIT UKURAN 3/16"" ( NEW )","4,899,000.00",KGM,"4,899,000.00","4,899,000.00","39,192.00",SGD,"11,640.53","456,215,651.76"
56,000105,1/9/2023,PT. BUKIT GRANIT MINING MANDIRI,INFINITE PROSPERITY PTE LTD,"GRANITE 1/4"" - 3/4"" (NEW)","4,310.00",TNE,"4,310,000.00","4,310,000.00","38,790.00",SGD,"11,640.53","451,536,158.70"
57,000106,1/9/2023,PT PACIFIC GRANITAMA,Pan-United Concrete Pte Ltd,"Batu Granit Ukuran 1/4""- 3/4""","4,227.00",TNE,"4,227,000.00","4,227,000.00","41,001.90",SGD,"11,640.53","477,283,847.01"
58,000107,1/9/2023,PT PACIFIC GRANITAMA,Pan-United Concrete Pte Ltd,"Batu Granit Ukuran 3/16""","4,390.00",TNE,"4,390,000.00","4,390,000.00","36,876.00",SGD,"11,640.53","429,256,184.28"
59,000109,1/9/2023,PT WIRA PENTA KENCANA,ORIENT NATURAL RESOURCES PTE LTD,"BATU GRANIT UK. 3/16"" (NEW)","4,000.00",TNE,"4,000,000.00","4,000,000.00","38,000.00",SGD,"11,640.53","442,340,140.00"
60,000111,1/10/2023,PT. BUKIT GRANIT MINING MANDIRI,INFINITE PROSPERITY PTE LTD,"GRANITE 1/4"" - 3/4"" (NEW)","3,112.00",TNE,"3,112,000.00","3,112,000.00","28,008.00",SGD,"11,640.53","326,027,964.24"
61,000114,1/10/2023,PT PACIFIC GRANITAMA,Pan-United Concrete Pte Ltd,"Batu Granit Ukuran 1/4""- 3/4""","3,507.00",TNE,"3,507,000.00","3,507,000.00","34,017.90",SGD,"11,640.53","395,986,385.49"
62,000115,1/10/2023,PT PACIFIC GRANITAMA,Pan-United Concrete Pte Ltd,"Batu Granit Ukuran 1/4""- 3/4""","4,453.00",TNE,"4,453,000.00","4,453,000.00","43,194.10",SGD,"11,640.53","502,802,216.87"
63,000116,1/10/2023,PT PACIFIC GRANITAMA,Pan-United Concrete Pte Ltd,"Batu Granit Ukuran 3/16""","4,451.00",TNE,"4,451,000.00","4,451,000.00","37,388.40",SGD,"11,640.53","435,220,791.85"
64,000117,1/10/2023,PT BUKIT ALAM PERSADA,HL GRANITE RESOURCES PTE LTD,"BATU GRANIT UKURAN 1/4"" - 3/4"" ( NEW )","5,000,000.00",KGM,"5,000,000.00","5,000,000.00","45,500.00",SGD,"11,640.53","529,644,115.00"
65,000119,1/10/2023,PT BUKIT ALAM PERSADA,HL GRANITE RESOURCES PTE LTD,"BATU GRANIT UKURAN 1/4"" - 3/4"" ( NEW )","4,335,000.00",KGM,"4,335,000.00","4,335,000.00","39,448.50",SGD,"11,640.53","459,201,447.71"
66,000123,1/10/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS: 12 - SCH/WT: S-140  PIPE ASME B36.10M API 5L-X60 PSL2 BE INCONEL 625 WELD OVERLAY_NACE MR0175 / ISO 15156_SMLS ( WHP13S-NG225230006-F25B-S04 Pos 34 )   QG-PP-7392, NPS: 12 - SCH/WT: S-140  PIPE ASME B36.10M API 5L-X #NON COMMERCIAL VALUE",1.00,D97,831.30,831.30,"65,063,711.72",USD,"15,665.00","1,019,223,044,093.80"
67,000123,1/10/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS: 12 - SCH/WT: S-140  PIPE ASME B36.10M API 5L-X60 PSL2 BE INCONEL 625 WELD OVERLAY_NACE MR0175 / ISO 15156_SMLS ( WHP13S-NG225230006-F25B-S02 Pos 11 )   QG-PP-7354 #NON COMMERCIAL VALUE #NON COMMERCIAL VALUE",1.00,PCE,339.90,339.90,"26,604,686.87",USD,"15,665.00","416,762,419,818.55"
68,000123,1/10/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS: 12 - SCH/WT: S-140  PIPE ASME B36.10M API 5L-X60 PSL2 BE INCONEL 625 WELD OVERLAY_NACE MR0175 / ISO 15156_SMLS ( WHP12N-NG260230056-F25B-S08 Pos 89 )   QG-PP-7360 #NON COMMERCIAL VALUE #NON COMMERCIAL VALUE",1.00,PCE,"1,172.90","1,172.90","91,822,852.50",USD,"15,665.00","1,438,404,984,412.50"
69,000123,1/10/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS: 28 - SCH/WT: S-39.0  PIPE ASME B36.10M API 5L-X65 PSL2 BE INCONEL 625 WELD OVERLAY _NACE MR0175 / ISO 15156_SAW (100% RT)-744.4 mm OD, 666.4 mm CS ID ( WHP14S-NG230230003-F28B-S01 Pos 3 )  QG-PP-7429 #NON COMMERCIAL #NON COMMERCIAL VALUE",1.00,PCE,"3,844.10","3,844.10","326,318,194.00",USD,"15,665.00","5,111,774,509,010.00"
70,000123,1/10/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS: 12 - SCH/WT: S-140  PIPE ASME B36.10M API 5L-X60 PSL2 BE INCONEL 625 WELD OVERLAY_NACE MR0175 / ISO 15156_SMLS ( WHP14S-NG230230040-F25B-S03 Pos 31 )   QG-PP-7342 #NON COMMERCIAL VALUE #NON COMMERCIAL VALUE",1.00,PCE,561.60,561.60,"43,961,445.57",USD,"15,665.00","688,656,044,854.05"
71,000123,1/10/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS: 10 - SCH/WT: S-140  PIPE ASME B36.10M API 5L-X60 PSL2 BE INCONEL 625 WELD OVERLAY_NACE MR0175 / ISO 15156_SMLS ( RP10S-NG245230033-F25B-S02 Pos 24 )  QG-PP-7425 #NON COMMERCIAL VALUE #NON COMMERCIAL VALUE",1.00,PCE,"2,170.40","2,170.40","183,246,472.90",USD,"15,665.00","2,870,555,997,978.50"
72,000123,1/10/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS: 10 - SCH/WT: S-140  PIPE ASME B36.10M API 5L-X60 PSL2 BE INCONEL 625 WELD OVERLAY_NACE MR0175 / ISO 15156_SMLS ( RP10S-NG245230003-F25B-S04 Pos 54 )  QG-PP-7422, NPS: 12 - SCH/WT: S-140  PIPE ASME B36.10M API 5L-X60 #NON COMMERCIAL VALUE",1.00,BX,901.00,901.00,"204,301,229.76",USD,"15,665.00","3,200,378,764,190.40"
73,000123,1/10/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS: 12 - SCH/WT: S-140  PIPE ASME B36.10M API 5L-X60 PSL2 BE INCONEL 625 WELD OVERLAY_NACE MR0175 / ISO 15156_SMLS ( WHP14S-NG230230004-F25B-S07 Pos 105 )   QG-PP-7341 #NON COMMERCIAL VALUE #NON COMMERCIAL VALUE",1.00,PCE,477.50,477.50,"37,377,847.44",USD,"15,665.00","585,523,980,147.60"
74,000123,1/10/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS: 12 - SCH/WT: S-140  PIPE ASME B36.10M API 5L-X60 PSL2 BE INCONEL 625 WELD OVERLAY_NACE MR0175 / ISO 15156_SMLS ( WHP12N-NG260230037-F25B-S03 Pos 83 )   QG-PP-7350 #NON COMMERCIAL VALUE #NON COMMERCIAL VALUE",1.00,PCE,541.30,541.30,"42,378,292.94",USD,"15,665.00","663,855,958,905.10"
75,000123,1/10/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS: 12 - SCH/WT: S-140  PIPE ASME B36.10M API 5L-X60 PSL2 BE INCONEL 625 WELD OVERLAY_NACE MR0175 / ISO 15156_SMLS ( WHP14S-NG230230034-F25B-S04 Pos 66 )   QG-PP-7346 #NON COMMERCIAL VALUE #NON COMMERCIAL VALUE",1.00,PCE,565.30,565.30,"44,251,046.66",USD,"15,665.00","693,192,645,928.90"
76,000123,1/10/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS: 12 - SCH/WT: S-140  PIPE ASME B36.10M API 5L-X60 PSL2 BE INCONEL 625 WELD OVERLAY_NACE MR0175 / ISO 15156_SMLS ( WHP14S-NG230230004-F25B-S03 Pos 15 )   QG-PP-7349 #NON COMMERCIAL VALUE #NON COMMERCIAL VALUE",1.00,PCE,572.90,572.90,"44,849,555.58",USD,"15,665.00","702,568,288,160.70"
77,000123,1/10/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS: 12 - SCH/WT: S-140  PIPE ASME B36.10M API 5L-X60 PSL2 BE INCONEL 625 WELD OVERLAY_NACE MR0175 / ISO 15156_SMLS ( WHP14S-NG230230188-F25B-S01 Pos 4 )   QG-PP-7345 #NON COMMERCIAL VALUE #NON COMMERCIAL VALUE",1.00,PCE,748.00,748.00,"58,557,340.55",USD,"15,665.00","917,300,739,715.75"
78,000123,1/10/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS: 12 - SCH/WT: S-140  PIPE ASME B36.10M API 5L-X60 PSL2 BE INCONEL 625 WELD OVERLAY_NACE MR0175 / ISO 15156_SMLS ( WHP14S-NG230230006-F25B-S01 Pos 9 )   QG-PP-7358 #NON COMMERCIAL VALUE #NON COMMERCIAL VALUE",1.00,PCE,949.00,949.00,"74,292,333.14",USD,"15,665.00","1,163,789,398,638.10"
79,000123,1/10/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS: 12 - SCH/WT: S-140  PIPE ASME B36.10M API 5L-X60 PSL2 BE INCONEL 625 WELD OVERLAY_NACE MR0175 / ISO 15156_SMLS ( WHP13S-NG225230028-F25B-S03 Pos 39 )   QG-PP-7419, NPS: 12 - SCH/WT: S-140  PIPE ASME B36.10M API 5L-X #NON COMMERCIAL VALUE",1.00,D97,336.40,336.40,"26,334,392.52",USD,"15,665.00","412,528,258,825.80"
80,000123,1/10/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS1: 28 - SCHED.1 S-52.0 NPS2: 2 - SCHED.2 S-80S  SWEEPOLET ASTM B564-UNS N06625 BE NACE MR0175 / ISO 15156 MSS-SP-97 QG-FT-0484 (Sent to Cladtek (For Mock up Test)), NPS1: 10 - SCHED.1 S-140 NPS2: 2 - SCHED.2 S-80S   S #NON COMMERCIAL VALUE",1.00,BX,85.00,85.00,"207,732,964.20",USD,"15,665.00","3,254,136,884,193.00"
81,000123,1/10/2023,PT. SAIPEM INDONESIA,MARITTIMO PTE LTD O/B PT. SAIPEM INDONESIA,"NEW, NPS: 28 - SCH/WT: S-39.0  PIPE ASME B36.10M API 5L-X65 PSL2 BE INCONEL 625 WELD OVERLAY _NACE MR0175 / ISO 15156_SAW (100% RT)-744.4 mm OD, 666.4 mm CS ID ( WHP13S-NG225230003-F28B-S01 Pos 3 )  QG-PP-7430 #NON COMMERCIAL #NON COMMERCIAL VALUE",1.00,PCE,"3,844.10","3,844.10","326,318,194.00",USD,"15,665.00","5,111,774,509,010.00"
